告警ID,告警级别,告警名称,告警对象,对象类型,产生时间,清除时间,清除类型
15.1000102,重要,虚拟机内存占用率超过阈值,核心网性能数据采集_windows应用服务器,虚拟机,2018/06/15 20:42:00 GMT+08:00,-,-
15.1007030,重要,VRM未配置远程管理数据备份,VRM02,VRM节点,2018/01/16 02:00:15 GMT+08:00,-,-
15.1007030,重要,VRM未配置远程管理数据备份,VRM01,VRM节点,2017/12/20 02:00:14 GMT+08:00,-,-
15.1000101,重要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/22 09:17:00 GMT+08:00,2018/06/22 09:18:00 GMT+08:00,正常清除
15.1000036,次要,主机逻辑磁盘占用率超过阈值,CNA08,主机,2018/06/20 22:15:00 GMT+08:00,2018/06/20 22:33:00 GMT+08:00,正常清除
15.1000036,次要,主机逻辑磁盘占用率超过阈值,CNA002,主机,2018/06/20 15:44:00 GMT+08:00,2018/06/20 15:48:00 GMT+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/18 15:10:00 GMT+08:00,2018/06/18 15:11:00 GMT+08:00,正常清除
15.1000036,次要,主机逻辑磁盘占用率超过阈值,CNA04,主机,2018/06/18 08:00:00 GMT+08:00,2018/06/18 08:04:00 GMT+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/17 17:57:00 GMT+08:00,2018/06/17 17:58:00 GMT+08:00,正常清除
15.1000036,次要,主机逻辑磁盘占用率超过阈值,CNA08,主机,2018/06/17 11:30:00 GMT+08:00,2018/06/17 11:33:00 GMT+08:00,正常清除
15.1000101,次要,虚拟机CPU占用率超过阈值,superFM02,虚拟机,2018/06/14 18:00:00 GMT+08:00,2018/06/14 18:01:00 GMT+08:00,正常清除
15.1000036,次要,主机逻辑磁盘占用率超过阈值,CNA08,主机,2018/06/14 01:43:00 GMT+08:00,2018/06/14 01:47:00 GMT+08:00,正常清除
